id,District
42101004314,1
42101000205,1
42101003201,1
42101001814,1
42101001024,2
42101001014,2
42101000311,1
42101004104,2
42101004511,2
42101004028,1
42101006316,2
42101005016,2
42101003005,1
42101005210,1
42101005830,2
42101002806,1
42101003629,1
42101004818,1
42101006622,3
42101003428,1
42101003414,1
42101003412,1
42101001517,1
42101001515,1
42101002107,2
42101001502,1
42101000606,1
42101002144,2
42101006217,2
42101001901,1
42101004308,2
42101001324,1
42101000829,1
42101003417,1
42101004012,1
42101006415,2
42101004702,1
42101004919,2
42101000201,1
42101005821,3
42101004512,2
42101006103,2
42101006318,2
42101004113,2
42101004214,2
42101000849,1
42101003010,1
42101003808,1
42101003937,1
42101005904,2
42101000828,1
42101004209,2
42101003301,2
42101000709,2
42101000502,1
42101001611,1
42101004215,2
42101002117,2
42101005811,2
42101001016,2
42101003015,1
42101001082,1
42101005828,2
42101005922,2
42101005911,2
42101004808,1
42101006522,2
42101004126,2
42101005841,3
42101003704,1
42101005714,2
42101004890,2
42101004912,2
42101002119,2
42101001701,2
42101003815,2
42101001115,1
42101004211,2
42101004207,2
42101004025,1
42101003116,1
42101000812,1
42101000112,1
42101004901,2
42101003433,1
42101001223,2
42101006633,3
42101003710,1
42101005804,3
42101005634,2
42101004124,2
42101001706,2
42101001703,2
42101001710,2
42101001815,1
42101006020,1
42101003625,1
42101005529,2
42101005215,1
42101005218,1
42101005007,2
42101006010,1
42101001723,2
42101004714,1
42101002717,1
42101003439,1
42101001616,1
42101006416,2
42101006121,2
42101002607,1
42101000837,1
42101005712,2
42101006313,2
42101006312,2
42101003803,1
42101003821,1
42101005227,1
42101000208,1
42101004408,1
42101005201,1
42101001614,1
42101003214,1
42101005633,2
42101001002,2
42101003708,1
42101003007,1
42101001214,2
42101003505,2
42101004006,1
42101004018,1
42101004013,1
42101003405,1
42101001906,1
42101005402,2
42101001712,2
42101003811,2
42101004316,1
42101002321,2
42101005639,2
42101003632,1
42101002127,2
42101002602,1
42101003516,2
42101001602,1
42101004617,1
42101000120,1
42101000568,1
42101000803,1
42101006023,1
42101006016,1
42101003118,1
42101000506,1
42101006125,2
42101004514,2
42101002111,2
42101002712,1
42101003628,1
42101005206,1
42101002413,1
42101002133,2
42101005837,3
42101000706,2
42101006305,2
42101001089,1
42101003225,1
42101000109,1
42101005004,2
42101002217,2
42101006006,1
42101006310,2
42101002615,1
42101003905,1
42101003928,1
42101000202,1
42101005407,2
42101001320,2
42101001313,2
42101003512,2
42101006212,2
42101000910,2
42101001618,1
42101001120,1
42101005914,2
42101001205,2
42101005627,2
42101005221,1
42101001069,1
42101006215,2
42101003711,1
42101006405,2
42101006517,2
42101005831,3
42101006102,2
42101004524,2
42101003016,1
42101000304,1
42101003626,1
42101000412,1
42101004407,1
42101005008,2
42101005006,2
42101003437,1
42101004009,1
42101005521,2
42101005527,2
42101002310,2
42101001406,1
42101002518,2
42101004917,2
42101006320,2
42101002129,2
42101000833,1
42101004035,1
42101000207,1
42101004811,1
42101005609,2
42101004807,1
42101003709,1
42101003223,1
42101001083,1
42101001713,2
42101001720,2
42101006601,3
42101006512,2
42101003623,1
42101005010,2
42101002407,1
42101003115,1
42101003434,1
42101005624,2
42101000714,2
42101006104,2
42101003901,1
42101005603,2
42101001805,1
42101001325,1
42101004605,1
42101003110,1
42101001207,2
42101001819,1
42101001321,2
42101001912,1
42101004508,2
42101004510,2
42101004409,1
42101003108,1
42101005082,1
42101005421,2
42101003323,2
42101003009,1
42101000613,1
42101006303,2
42101003101,1
42101001006,2
42101002805,1
42101004801,1
42101003615,1
42101005923,2
42101005824,3
42101000115,1
42101006640,3
42101006610,2
42101004212,2
42101003410,1
42101003608,1
42101000907,2
42101006201,2
42101005321,2
42101000707,2
42101004517,2
42101005818,3
42101003922,1
42101004910,2
42101002305,2
42101000518,1
42101005825,3
42101000231,1
42101000573,1
42101001402,1
42101003514,2
42101004040,1
42101002706,1
42101003119,1
42101001911,1
42101005604,2
42101001087,1
42101006117,2
42101001905,1
42101004623,1
42101004618,1
42101006641,3
42101005021,2
42101005918,2
42101003820,2
42101002917,1
42101000718,1
42101002417,1
42101000614,1
42101002228,2
42101003224,1
42101006626,2
42101001407,1
42101002312,2
42101004504,2
42101006302,2
42101003011,1
42101002901,1
42101004518,2
42101001318,2
42101004513,2
42101002010,1
42101001910,1
42101001215,2
42101001902,1
42101003630,1
42101000221,1
42101004904,2
42101003929,1
42101003941,1
42101004041,1
42101002121,2
42101003520,2
42101003805,1
42101003426,1
42101003227,1
42101005925,2
42101003013,1
42101003809,1
42101001818,1
42101001799,1
42101003207,1
42101004004,1
42101004029,1
42101005128,1
42101004037,1
42101002906,1
42101006409,2
42101001310,2
42101005808,3
42101005823,2
42101006110,2
42101006112,2
42101003714,1
42101004505,2
42101002903,1
42101002912,1
42101004401,1
42101000911,2
